"first_name","last_name","hire_date"
"Arfst","Taubman","8/23/1989"
"Brewster","Dratva","7/13/1989"
"Sham","McDermid","5/3/1989"
"Weiye","Dymetman","7/23/1989"
"Sariel","Demri","3/23/1989"
"Mihalis","Danner","2/16/1989"
"Rafail","Narahara","9/26/1989"
"Kwun","Colorni","3/5/1989"
"Alois","Waterhouse","11/1/1989"
"Heeju","Lorin","11/26/1989"
"Gonzalo","Stellhorn","1/8/1989"
"Mountaz","Imataki","2/14/1989"
"Basim","Vieth","4/28/1989"
"Aron","Hofting","4/2/1989"
"Peternela","Stamatiou","1/1/1989"
"Tse","Rijsenbrij","2/26/1989"
"Tadahiko","Stenning","5/24/1989"
"Monique","Hennings","5/2/1989"
"Cordelia","Bojadziev","11/27/1989"
"Mart","Remmele","3/7/1989"
"Weicheng","Deverell","3/18/1989"
"Valery","Shimshoni","9/2/1989"
"Fusako","Pollock","7/6/1989"
"Aris","Hasham","5/5/1989"
"Kankanahalli","Detkin","4/19/1989"
"Terresa","Rajaraman","5/6/1989"
"Hongzhu","Gopalakrishnan","2/16/1989"
"Patricio","Pillow","5/13/1989"
"Syozo","Attimonelli","3/15/1989"
"Persi","Tibblin","7/18/1989"
"Baziley","Kermarrec","11/7/1989"
"Vasiliy","Swen","8/14/1989"
"Mayuko","Oberman","7/10/1989"
"Barun","Otillio","7/19/1989"
"Hauke","Dredge","4/2/1989"
"Hugo","Gniady","9/18/1989"
"Serenella","Kugler","6/7/1989"
"Genki","Reghbati","11/14/1989"
"Aram","Dalton","2/9/1989"
"Krassimir","Emmart","8/13/1989"
"Gunilla","Geffroy","2/10/1989"
"Mong","Brattka","6/21/1989"
"Izaskun","Lamba","12/13/1989"
"Eben","Srimani","3/23/1989"
"Kaijung","Sudbeck","10/3/1989"
"Ewing","Negoita","8/21/1989"
"Mohd","Carrera","7/24/1989"
"Yoshinari","Masada","6/22/1989"
"Tsz","Emmerich","8/24/1989"
"Haldun","Badache","6/6/1989"
"Sverrir","Fadgyas","5/25/1989"
"Seshu","Stamatiou","6/17/1989"
"Chenye","Fontet","10/17/1989"
"Sigeru","Chinin","10/21/1989"
"Vishu","Rissland","3/26/1989"
"Salvador","Piveteau","3/10/1989"
"Szabolcs","Talmor","4/20/1989"
"Zvonko","Penttonen","9/27/1989"
"Willard","Krichel","6/7/1989"
"Yagil","Gammage","5/31/1989"
"Gal","Milicia","10/5/1989"
"Shuji","Reeken","2/9/1989"
"Qunsheng","Boguraev","3/30/1989"
"Mario","Sudkamp","7/4/1989"
"Gennadi","Versino","5/27/1989"
"Jouni","Farrel","8/11/1989"
"IEEE","Paludetto","12/31/1989"
"Tsutomu","Hinsberger","8/3/1989"
"Richara","Brickell","3/1/1989"
"Sariel","Sadowski","4/10/1989"
"Akemi","Zumaque","3/6/1989"
"Hisao","Peral","9/12/1989"
"Sushant","Leslie","6/23/1989"
"Licheng","Marshall","11/13/1989"
"Arve","Condotta","12/9/1989"
"Maia","Kitai","1/28/1989"
"Abdelkader","Michaeli","7/2/1989"
"Oscar","Lieberherr","2/25/1989"
"Sanjit","Masand","7/15/1989"
"Krassimir","Encarnacion","10/8/1989"
"Martine","Maccarone","4/13/1989"
"Falguni","Landherr","1/8/1989"
"Margareta","Yurov","5/11/1989"
"Hilary","Serre","2/25/1989"
"Jenwei","Pauthner","5/14/1989"
"Rosalie","Rijsenbrij","8/24/1989"
"Gudjon","Aseltine","12/29/1989"
"Kellyn","Jahnichen","12/1/1989"
"DAIDA","Androutsos","6/21/1989"
"Marlo","Kuszyk","1/20/1989"
"Siamak","Fioravanti","10/4/1989"
"Eran","Anick","10/20/1989"
"Panayotis","Baja","12/17/1989"
"Val","Rosca","10/5/1989"
"Berry","Caine","5/29/1989"
"Supot","Busillo","1/16/1989"
"Aamer","Unni","8/6/1989"
"JoAnne","Kusalik","2/26/1989"
"Wonhee","Byoun","1/1/1989"
"Pranjal","Syrzycki","4/29/1989"
"Jouni","Steinauer","7/3/1989"
"Nishit","Teitelbaum","7/31/1989"
"Chanjung","Conde","9/27/1989"
"Renny","Siepmann","3/23/1989"
"Ranga","Goldhammer","11/2/1989"
"Aleksander","Benner","1/6/1989"
"Vishu","Marshall","3/28/1989"
"Arfst","Veeraraghavan","10/29/1989"
"Nadjib","Baaz","5/2/1989"
"Jaber","Tyugu","4/6/1989"
"Vatsa","Chiola","6/21/1989"
"Sandeepan","Schieder","3/6/1989"
"Khun","Pelc","10/23/1989"
"Sachin","Kaminger","9/1/1989"
"Uma","Gulak","2/1/1989"
"Kristine","Ertl","5/30/1989"
"Zhigen","Slaats","6/4/1989"
"Maris","Emmart","4/12/1989"
"Shao","Birsak","10/17/1989"
"Munenori","Kuhnemann","8/27/1989"
"Wojceich","Standera","2/13/1989"
"Krisda","Sadowski","4/23/1989"
"Surveyors","Giveon","6/13/1989"
"Mary","Baer","3/4/1989"
"Gift","Neiman","7/14/1989"
"Atilio","Isaac","6/11/1989"
"Serap","Waeselynck","5/9/1989"
"Giao","Luby","12/3/1989"
"Wanqing","Adachi","12/4/1989"
"Gudjon","Fioravanti","5/5/1989"
"Teunis","Hatcliff","6/3/1989"
"Martina","Pashtan","12/6/1989"
"Sudharsan","Leaver","10/28/1989"
"Tesuya","DeMori","6/2/1989"
"Kersti","Rijckaert","6/15/1989"
"Jessie","Gente","2/20/1989"
"Yolla","Wixon","11/10/1989"
"Ferdinand","Worfolk","7/22/1989"
"Barun","Cherinka","12/8/1989"
"Annemarie","Heuter","3/4/1989"
"Jeane","Conry","7/9/1989"
"Danil","Itschner","1/3/1989"
"Yakkov","Liedekerke","3/29/1989"
"Masako","Detkin","3/1/1989"
"Shuji","Iisaku","1/8/1989"
"Jaroslava","Zultner","4/29/1989"
"Mayuko","Hmelo","1/22/1989"
"Nirmal","Hoppenstand","9/21/1989"
"Toney","Tsukuda","8/28/1989"
"Paddy","Onuegbe","2/12/1989"
"Arne","Paludetto","12/15/1989"
"Lunjin","Jakobus","2/19/1989"
"Roselyn","McDermid","3/20/1989"
"Yishai","Chenney","11/17/1989"
"Hilari","Huxford","7/20/1989"
"Giordano","Apsitis","3/2/1989"
"Mads","Baumann","9/2/1989"
"Shugo","Pargas","10/5/1989"
"Shigehito","Stenning","2/26/1989"
"Mizuhito","Ecklund","3/7/1989"
"Marco","Hiroyama","7/29/1989"
"Gregory","Falby","2/19/1989"
"Emran","Naudin","4/22/1989"
"Samphel","Srimani","8/25/1989"
"Giap","Antonakopoulos","10/22/1989"
"Hatem","Bugrara","2/1/1989"
"Ebru","Llado","1/12/1989"
"Luisa","Schneeberger","4/25/1989"
"Douadi","Spelt","9/16/1989"
"Utz","Passino","8/19/1989"
"Lene","Ishibashi","2/21/1989"
"Doowon","Masada","8/9/1989"
"Utz","Holburn","3/19/1989"
"Naraig","Veldwijk","7/10/1989"
"Tua","Vadhan","7/11/1989"
"Xiaoshan","Kading","11/6/1989"
"Mototsugu","Kusalik","9/17/1989"
"Matt","Wolniewicz","11/30/1989"
"Jouni","Rando","7/2/1989"
"Shichao","Shobatake","3/17/1989"
"Demin","Vecchio","1/14/1989"
"Moheb","Peternell","11/19/1989"
"Tzvetan","Cichocki","1/30/1989"
"Xiping","Hooghiemstra","12/31/1989"
"Sahrah","Rodiger","6/4/1989"
"Phuoc","Stille","7/1/1989"
"Yagil","Manders","11/27/1989"
"Zhanqiu","Puoti","4/19/1989"
"Fuqing","Peha","2/7/1989"
"Tuval","Hmelo","12/4/1989"
"Qunsheng","Kobuchi","2/16/1989"
"Stevo","Cherinka","6/15/1989"
"Makato","Chenney","9/19/1989"
"Jingling","Collavizza","3/18/1989"
"Aran","Bolsens","2/12/1989"
"Malu","Barvinok","11/10/1989"
"Suvo","Eiron","7/17/1989"
"Zhilian","Usdin","6/16/1989"
"Mechthild","Ramras","10/6/1989"
"Mario","Guenter","3/14/1989"
"Gino","Montemayor","9/7/1989"
"Anneli","Lunt","11/12/1989"
"Ferdinand","Munke","5/31/1989"
"Valery","Gajiwala","2/12/1989"
"Abdelkader","Versino","3/3/1989"
"Shaunak","Ruemmler","8/23/1989"
"Vasilis","Jullig","10/15/1989"
"Satyanarayana","Ellozy","5/21/1989"
"Hongzhu","Gyimothy","8/15/1989"
"Jaroslava","Thummel","10/5/1989"
"Arch","Heinisuo","10/8/1989"
"Jaewon","Preusig","4/25/1989"
"Xuedong","Valette","5/24/1989"
"Arfst","Wynblatt","9/22/1989"
"Mayuko","Kroll","2/27/1989"
"Sadun","Iisaka","8/4/1989"
"Martial","Brendel","9/21/1989"
"Arlette","Bisiani","7/29/1989"
"Ronghao","Vural","4/4/1989"
"Brewster","Panienski","8/26/1989"
"Laurentiu","Papadias","12/25/1989"
"Narain","Larfeldt","9/15/1989"
"Chikara","Yemenis","2/2/1989"
"Mads","Gien","8/3/1989"
"Girolamo","Bain","3/5/1989"
"Girolamo","Cappello","2/23/1989"
"Taiji","Breugel","5/8/1989"
"Arup","Zeidenstein","5/7/1989"
"Pohua","Salverda","4/19/1989"
"Cullen","Peres","6/2/1989"
"Rosalie","Bala","10/9/1989"
"Margareta","Ibel","4/15/1989"
"Neven","Coullard","9/26/1989"
"Mani","Bain","3/26/1989"
"Jaewon","Dymetman","3/16/1989"
"Petter","Sidje","7/3/1989"
"Yucel","Boyle","12/8/1989"
"Udaiprakash","Boreale","3/8/1989"
"Renny","Perl","10/21/1989"
"Howell","Fujisaki","3/2/1989"
"Subir","Makinen","10/16/1989"
"Sanjiv","Awdeh","7/14/1989"
"Danai","Menhoudj","11/13/1989"
"Harjit","Wiegley","10/25/1989"
"Bedir","Erman","3/14/1989"
"DeForest","Lung","5/8/1989"
"Kwangsub","Antonisse","9/25/1989"
"Marco","Randi","5/19/1989"
"Premal","Bondorf","10/18/1989"
"Arto","Chiola","5/28/1989"
"Katsuo","Lammel","1/6/1989"
"Eben","Schreiter","8/25/1989"
"Hirochika","Braccini","8/8/1989"
"Mariusz","Rikino","1/2/1989"
"Boaz","Cichocki","4/20/1989"
"Fumiyo","Argence","5/14/1989"
"Hideyuki","Trachtenberg","6/21/1989"
"Deniz","Salverda","1/16/1989"
"Shawna","Pouyioutas","4/24/1989"
"JiYoung","Comte","4/15/1989"
"Udi","Jahnichen","4/4/1989"
"Mats","Aamodt","10/3/1989"
"Sastry","Reistad","4/4/1989"
"LiMin","Mandelberg","5/27/1989"
"Bangqing","Azulay","9/5/1989"
"Elzbieta","Rotem","9/3/1989"
"Spyrose","Ishibashi","8/17/1989"
"Youngkon","Berztiss","7/27/1989"
"Sadegh","McClurg","3/14/1989"
"Sariel","Solares","1/18/1989"
"Deborah","Iisaka","7/29/1989"
"Cathie","Melski","5/2/1989"
"Shim","Flexer","1/8/1989"
"Jacopo","Pietrzykowski","12/28/1989"
"Sumant","Cummings","4/19/1989"
"Marke","Koblick","6/25/1989"
"Saeed","Kinley","2/11/1989"
"Jaber","Servieres","1/29/1989"
"Filipe","Peres","8/15/1989"
"Zissis","Miara","8/2/1989"
"Tooru","Heijenga","11/28/1989"
"Maria","Vieth","6/7/1989"
"Shigeu","Famili","1/5/1989"
"KayLiang","Luon","5/19/1989"
"Menkae","Mullainathan","3/28/1989"
"Katsuyuki","Falster","12/21/1989"
"Zongyan","Hinsberger","3/9/1989"
"Genta","Thebaut","9/30/1989"
"Shem","Litzkow","3/13/1989"
"Fumitake","Shackell","1/3/1989"
"Nahid","Ferretti","12/12/1989"
"Mahmut","Masand","8/12/1989"
"Shaleah","Strehl","3/20/1989"
"Kaijung","Demir","10/24/1989"
"Raimond","Aloia","10/25/1989"
"Mayumi","Katiyar","3/7/1989"
"Chuanti","Swiss","9/3/1989"
"Munir","Peral","2/9/1989"
"Shooichi","Maraist","10/16/1989"
"Piyawadee","Aseltine","7/13/1989"
"Venkatesan","Liesche","4/27/1989"
"Lidong","Prampolini","7/2/1989"
"Aemilian","Angel","8/3/1989"
"Jasminko","Duclos","8/29/1989"
"Nevio","Masamoto","2/20/1989"
"Subhash","Lichtner","8/9/1989"
"Shigehito","Rehfuss","9/10/1989"
"Bedrich","Peak","6/18/1989"
"Marc","Ozeri","3/8/1989"
"Khue","Luft","12/1/1989"
"Yechezkel","Alpay","11/14/1989"
"Sibyl","Cmelik","10/17/1989"
"Seongbin","Leivant","1/23/1989"
"Stabislas","Showalter","1/9/1989"
"Phuoc","Nations","11/27/1989"
"Cordelia","Mikschl","9/28/1989"
"Aram","Luca","7/28/1989"
"Abdelaziz","Colorni","2/10/1989"
"Jiafu","Vural","2/13/1989"
"Danai","Ligten","6/12/1989"
"Prasadram","Braunschweig","11/7/1989"
"Deniz","Rodier","12/18/1989"
"Murthy","Brickell","3/17/1989"
"Saeko","Wuwongse","11/19/1989"
"Hisao","Stanger","1/1/1989"
"Mayuri","Cronan","2/26/1989"
"Marin","Birta","9/6/1989"
"Ipke","Haldar","10/20/1989"
"Eckart","Shobatake","2/2/1989"
"Weiru","Armand","2/6/1989"
"Giri","Anger","6/22/1989"
"Xiadong","Colorni","8/31/1989"
"Uriel","Zaccaria","3/22/1989"
"Shmuel","Heiserman","11/6/1989"
"Ute","Pelc","12/14/1989"
"Marco","Bisiani","1/16/1989"
"Herbert","Bernardinello","11/20/1989"
"Chinho","Parascandalo","10/1/1989"
"Djenana","Sadowski","1/2/1989"
"Golgen","Feldhoffer","3/28/1989"
"Tesuro","Munke","2/10/1989"
"Ziva","Condotta","6/24/1989"
"Aloke","Melter","2/20/1989"
"Susumu","Birdsall","12/8/1989"
"Francoise","Rikino","8/30/1989"
"Mooi","Vickson","7/9/1989"
"Herb","Kalorkoti","10/9/1989"
"Hatem","Cannard","5/2/1989"
"Behnaam","Matzke","11/5/1989"
"Feixiong","Rosin","1/1/1989"
"Sungwon","Pillow","4/8/1989"
"Tamiya","Melski","9/2/1989"
"Werner","Zwicker","2/25/1989"
"Zhenbing","Garnham","1/22/1989"
"Bartek","Pero","3/2/1989"
"Zdislav","Mamelak","6/10/1989"
"Claudi","Peot","8/25/1989"
"Nikolaus","Trumbly","5/10/1989"
"Mark","Ermel","2/19/1989"
"Tesuro","Bennet","4/16/1989"
"Lobel","Marsiglia","12/16/1989"
"Ugo","Porenta","8/17/1989"
"Brendon","Rahimi","4/26/1989"
"Oksana","Farrar","5/1/1989"
"Gennady","Kisuki","12/24/1989"
"Mayuri","DeMori","9/6/1989"
"Limsoon","Iwayama","4/9/1989"
"Jixiang","Panienski","11/25/1989"
"Froduald","Kavvadias","1/26/1989"
"Fai","Godskesen","11/28/1989"
"Djenana","Maginnis","9/18/1989"
"Nechama","Underwood","9/1/1989"
"Gou","Speel","8/10/1989"
"Aloys","Milicic","10/10/1989"
"Jeong","Soloway","8/29/1989"
"Amstein","Dalphin","3/27/1989"
"Shugo","Matzke","5/5/1989"
"Guangming","Rindone","9/20/1989"
"Hatem","Silva","1/14/1989"
"Doowon","Rosaz","12/25/1989"
"Takahiro","Reistad","11/6/1989"
"Krassimir","Kuzuoka","10/30/1989"
"Zhenbing","Szmurlo","3/1/1989"
"Yishay","Borovoy","5/8/1989"
"Chinya","Sudbeck","8/31/1989"
"Frederique","Karcich","12/27/1989"
"Jeane","Servieres","3/20/1989"
"Frederique","Potthoff","3/11/1989"
"Yuqun","Naumovich","4/18/1989"
"Mabhin","Piveteau","9/13/1989"
"Kaijung","Shokrollahi","11/8/1989"
"Arno","Radivojevic","10/11/1989"
"Elgin","Bala","11/10/1989"
"Toong","Litecky","3/1/1989"
"Bezalel","Kenevan","3/16/1989"
"Mansur","Oehlmann","3/5/1989"
"Mohamadou","Waterhouse","9/18/1989"
"Shooichi","Bratten","7/22/1989"
"Berry","Dichev","6/30/1989"
"Shim","McConalogue","1/16/1989"
"Bernd","Alameldin","7/25/1989"
"Kristen","Masamoto","6/7/1989"
"Gurbir","Wallrath","8/21/1989"
"Arto","Schaap","7/31/1989"
"Nadjib","Stanger","10/11/1989"
"Nectarios","Ulupinar","12/6/1989"
"Leif","Egerstedt","6/27/1989"
"Masali","Remmers","5/31/1989"
"Gopalakrishnan","Marchegay","6/26/1989"
"Georgi","Plesums","2/15/1989"
"Garnik","Pollacia","3/10/1989"
"Shietung","Coors","9/10/1989"
"Gino","Wendorf","2/4/1989"
"Divier","Chinal","4/3/1989"
"Weiyi","Fargier","7/15/1989"
"Ugo","Erva","1/11/1989"
"Selwyn","Miake","6/28/1989"
"Zhigen","Demian","6/15/1989"
"Sadok","Gimarc","8/17/1989"
"Uri","Docker","6/7/1989"
"Gaurav","Oppitz","6/21/1989"
"DeForest","Bale","8/4/1989"
"Jahangir","Undy","12/26/1989"
"Udi","Bahr","11/24/1989"
"Yifei","DuBourdieux","7/29/1989"
"Gudjon","Skogmar","3/28/1989"
"Koichi","Molenkamp","8/2/1989"
"Fai","Suomi","5/15/1989"
"Xianlong","Bressoud","1/22/1989"
"Mohamadou","Ressouche","8/9/1989"
"Teunis","Pews","12/29/1989"
"Laurentiu","Ohori","6/14/1989"
"Theron","Landherr","1/14/1989"
"Yuriy","Jeansoulin","5/5/1989"
"Piyawadee","Heijenga","5/25/1989"
"Phuoc","Ramsey","11/10/1989"
"Taisook","Ermel","12/30/1989"
"Sumant","Ramamoorthy","4/3/1989"
"Cullen","Pero","3/15/1989"
"Mrinalini","Porotnikoff","11/26/1989"
"Valdiodio","Kavvadias","11/14/1989"
"Zhonghua","Gire","8/3/1989"
"Paris","Chiodo","3/25/1989"
"Jaber","Milicic","5/16/1989"
"Marsha","Willoner","9/9/1989"
"Alassane","Kirkerud","10/17/1989"
"Hilari","Simmel","3/13/1989"
"Val","Kumaresan","4/29/1989"
"Constantijn","Perz","1/27/1989"
"Sugwoo","Masaki","10/14/1989"
"Kazuhisa","Cunliffe","4/19/1989"
"Oksana","Kaelbling","5/9/1989"
"Quingbo","Warwick","6/18/1989"
"Susanta","Stellhorn","4/7/1989"
"Mohd","Ghandeharizadeh","3/12/1989"
"Hairong","Morrey","4/23/1989"
"Parviz","Ruther","11/6/1989"
"Kazuhira","Mawatari","11/21/1989"
"Hercules","Fontan","7/6/1989"
"Pragnesh","Cannard","2/24/1989"
"Fayez","Pearson","2/13/1989"
"Moon","Gini","12/23/1989"
"Kamakshi","Panwar","5/3/1989"
"Sushant","Morris","10/16/1989"
"Miquel","Zockler","12/4/1989"
"Younwoo","Baik","1/15/1989"
"Eirik","Rodite","5/5/1989"
"Reinhold","Deyuan","11/8/1989"
"Guther","Gill","10/7/1989"
"Khun","Cannata","9/19/1989"
"Chenxi","Vidya","5/7/1989"
"Tonia","Capobianchi","11/4/1989"
"Randi","Pusterhofer","4/19/1989"
"Subhankar","Wissmann","5/2/1989"
"Kazuhisa","Chaudhury","12/25/1989"
"Mohammad","Ullian","1/18/1989"
"Mabry","Lenart","4/16/1989"
"Khue","Beilner","12/12/1989"
"Ute","Remmers","7/16/1989"
"Lijie","Gien","9/19/1989"
"Lillian","Sooriamurthi","12/22/1989"
"Radhakrishnan","Gyimothy","11/27/1989"
"Mohua","Verhaegen","6/11/1989"
"Babette","Heystek","10/9/1989"
"Hausi","Rissland","12/8/1989"
"Kazuhiro","Bahr","11/27/1989"
"Atilio","Mahmud","10/13/1989"
"Mats","Andreotta","2/27/1989"
"Cristinel","Selenyi","6/7/1989"
"Phule","Naudin","10/19/1989"
"JiYoung","Rehfuss","2/10/1989"
"Masako","Macedo","8/26/1989"
"Xuejun","Cronin","8/27/1989"
"Gill","Domenig","11/22/1989"
"Ferdinand","Ambroszkiewicz","3/3/1989"
"Premsyl","Paciorek","12/10/1989"
"Shigehiro","Veevers","7/23/1989"
"Huan","Demri","10/27/1989"
"Barun","Hooghiemstra","11/2/1989"
"Ulises","Weiland","3/9/1989"
"Vitali","Asrin","7/26/1989"
"Falguni","Sidhu","9/29/1989"
"Boguslaw","Etalle","4/3/1989"
"Chandrasekaran","Penz","11/14/1989"
"Jeane","Lowrie","9/2/1989"
"Martial","Range","8/1/1989"
"Piyush","Hutter","6/26/1989"
"Tzu","Gien","1/26/1989"
"Owen","Impagliazzo","1/5/1989"
"Ugo","Bratsberg","9/4/1989"
"Yefim","Garrabrants","4/1/1989"
"Jouni","Montresor","9/23/1989"
"Martine","Simkin","9/2/1989"
"Gennadi","Langford","3/16/1989"
"Karlis","Litecky","1/24/1989"
"Mihalis","Stasinski","4/12/1989"
"Subhrajyoti","Aloia","11/3/1989"
"Duangkaew","Laurillard","6/20/1989"
"Gill","Pell","4/15/1989"
"Danny","Lieberherr","6/20/1989"
"Giao","Koblick","11/22/1989"
"Tsz","Aloisi","9/19/1989"
"Gino","Babb","6/14/1989"
"Etsuo","Vernadat","11/25/1989"
"Candida","Meszaros","2/22/1989"
"Teiji","Riexinger","8/18/1989"
"Kannan","Baig","4/25/1989"
"Gilbert","Luff","12/16/1989"
"Shigenori","Levasseur","10/22/1989"
"Danco","Weedon","1/26/1989"
"Gen","Knightly","3/6/1989"
"Shahar","Rattan","3/25/1989"
"Fumiyo","Lorho","4/29/1989"
"Geoffrey","Sherertz","8/24/1989"
"Jianhui","Garnham","6/15/1989"
"Yakkov","Dulin","10/30/1989"
"Lubomir","Melichar","6/19/1989"
"Mariusz","Muhling","2/5/1989"
"Kristin","Ranka","11/8/1989"
"Domenick","Vesel","1/14/1989"
"Yuqun","Denis","1/2/1989"
"Kwok","Piveteau","5/2/1989"
"Gift","Klyachko","11/10/1989"
"Anneli","Litzkow","1/18/1989"
"Mani","Pavlopoulou","8/30/1989"
"Gor","Lemarechal","6/7/1989"
"Arnould","Ritzmann","5/23/1989"
"Radhika","Shihab","12/1/1989"
"Subhrajyoti","Thambidurai","12/6/1989"
"Kendra","Porotnikoff","6/8/1989"
"Zhonghui","Minakawa","11/11/1989"
"Vitaly","Begiun","11/22/1989"
"Chinhyun","Pavlopoulou","11/25/1989"
"Nobuyoshi","Luga","1/8/1989"
"Pohua","Prenel","8/2/1989"
"Pranav","Fairtlough","9/21/1989"
"Jiann","Falby","7/21/1989"
"Geoffrey","Baaz","4/13/1989"
"Somnath","Gils","8/3/1989"
"Zorica","Milicia","1/26/1989"
"Tomoyuki","Levergood","9/23/1989"
"Oksana","Theuretzbacher","2/28/1989"
"Yishay","Fendler","7/26/1989"
"Patricia","Wendorf","4/12/1989"
"Amalendu","Emmart","1/11/1989"
"Yannis","Leslie","9/19/1989"
"Uli","Genin","6/30/1989"
"Kotesh","Laventhal","8/25/1989"
"Zissis","Matteis","11/6/1989"
"Jolita","Chinal","1/11/1989"
"Yinlin","Bojadziev","5/2/1989"
"Keiichiro","Luon","1/29/1989"
"Elgin","Fiebach","7/15/1989"
"Toshiko","Ranon","3/13/1989"
"Mayuri","Luga","10/19/1989"
"Katsuo","Bernatsky","4/21/1989"
"Yifei","Conte","5/26/1989"
"Shuichi","Ranai","11/2/1989"
"Katsuyuki","Weedon","12/28/1989"
"Mechthild","Ermel","2/4/1989"
"Vishv","Egerstedt","7/17/1989"
"Francesca","Kusakabe","12/17/1989"
"Dayanand","Angiulli","4/15/1989"
"Yongdong","Slobodova","3/16/1989"
"Hauke","Sevcikova","1/18/1989"
"Florian","Cannard","2/16/1989"
"Subhrajyoti","Katiyar","9/13/1989"
"Palash","Matzke","7/26/1989"
"Isaac","Murillo","11/24/1989"
"Chenyi","Msuda","8/10/1989"
"Bodo","Perng","1/17/1989"
"Hatem","Mellouli","9/29/1989"
"Berni","Oehlmann","8/25/1989"
"Jianhua","Rijckaert","4/23/1989"
"Hirochika","Liesche","5/27/1989"
"Baziley","Shihab","11/11/1989"
"Martina","Sgarro","3/23/1989"
"Along","Hanabata","3/4/1989"
"Luigi","Bauknecht","10/4/1989"
"Doowon","Garnham","12/5/1989"
"Lokesh","Anick","4/15/1989"
"Pantung","Redmiles","2/25/1989"
"Jiann","Heystek","10/19/1989"
"Bingning","Rissanen","10/23/1989"
"Huiqun","Weedman","10/2/1989"
"Shuky","Katiyar","3/19/1989"
"Kyoichi","Emden","2/19/1989"
"Muzhong","Shrader","3/10/1989"
"Gila","Bratsberg","8/23/1989"
"Odinaldo","Bridgland","6/9/1989"
"Sachem","Bale","2/23/1989"
"Jiakeng","Billingsley","10/27/1989"
"Hongzue","Heyers","1/3/1989"
"Guoxiang","Decaestecker","1/13/1989"
"Jungsoon","Ginneken","7/22/1989"
"Demos","Poupard","4/15/1989"
"Roddy","Hiltgen","3/25/1989"
"Manu","Delgrange","11/25/1989"
"King","Haddadi","8/1/1989"
"Fay","Nergos","11/22/1989"
"Horward","Waleschkowski","12/21/1989"
"Eckart","Barinka","5/13/1989"
"Masaki","Picaronny","1/30/1989"
"Sadun","Garigliano","1/28/1989"
"Khaled","Itschner","3/24/1989"
"Jaihie","Cairo","3/8/1989"
"Annemarie","Ginneken","3/13/1989"
"Alper","Kitsuregawa","2/19/1989"
"Hugo","Schwabacher","5/26/1989"
"Krister","Zhang","4/3/1989"
"Eishiro","Wolniewicz","9/12/1989"
"Krisda","Papsdorf","9/21/1989"
"Martins","Wroclawski","8/27/1989"
"Arnd","Lung","10/27/1989"
"Maren","Douceur","5/13/1989"
"Arlette","Alencar","8/30/1989"
"Domenico","Merle","7/24/1989"
"Chuanti","Aseltine","4/12/1989"
"Muneo","Kuzuoka","5/15/1989"
"Badri","Chenoweth","7/12/1989"
"Toshiko","Klyachko","3/24/1989"
"Luisa","Terlouw","2/20/1989"
"Ghassan","Nivat","4/27/1989"
"Jeong","Krogh","3/30/1989"
"Faiza","Yetim","10/28/1989"
"Keung","Thibadeau","8/23/1989"
"Jianhao","Cherinka","3/5/1989"
"Foong","Ghelli","11/6/1989"
"Goncalo","Lalonde","11/5/1989"
"Hinrich","Harllee","4/6/1989"
"Vatsa","Peral","4/13/1989"
"Tzu","Fontet","11/21/1989"
"Basil","Maccarone","8/29/1989"
"Gro","Bennet","9/12/1989"
"Bernd","Rikino","10/9/1989"
"Narain","Kropatsch","1/24/1989"
"Ohad","Heiserman","9/30/1989"
"Prasadram","Thimonier","3/25/1989"
"Salvador","Lichtner","9/19/1989"
"Rance","Pesch","4/16/1989"
"Vasiliy","Granlund","9/8/1989"
"Sivanarayana","Lichtman","8/14/1989"
"Chirstian","Brookman","5/23/1989"
"Pranay","Munoz","7/7/1989"
"Arvin","Menyhert","3/4/1989"
"Genki","Erman","5/6/1989"
"Leon","Borstler","4/20/1989"
"Chuanti","Mahmud","12/23/1989"
"Urs","Haddadi","4/2/1989"
"Weiru","Copas","3/9/1989"
"Mary","Henders","6/22/1989"
"Xiaocheng","Bakhtari","8/31/1989"
"Karsten","Zhiwei","6/13/1989"
"Takahira","Waymire","3/11/1989"
"Marco","Papadias","5/16/1989"
"Hailing","Hofman","1/31/1989"
"Goo","Strandh","4/22/1989"
"Leen","Pollacia","2/1/1989"
"Kristian","Puoti","8/26/1989"
"Jeane","Rajcani","7/12/1989"
"Izaskun","Garnier","4/17/1989"
"Martien","Babb","9/25/1989"
"Xiaocheng","Millington","7/15/1989"
"Lucien","Pashtan","9/9/1989"
"Youpyo","Gelosh","2/6/1989"
"Gurbir","Osgood","7/14/1989"
"Steen","Vasanthakumar","7/1/1989"
"Ulf","Kohling","4/28/1989"
"Uma","Murtha","12/24/1989"
"Pintsang","Boyle","5/18/1989"
"Utz","Ermel","9/6/1989"
"Bernd","Dayang","11/23/1989"
"Georg","Puppo","7/16/1989"
"Jungsoon","Thorensen","3/14/1989"
"Changho","Dayana","7/7/1989"
"Seshu","Luff","5/27/1989"
"Shushma","Bharadwaj","8/16/1989"
"Tetsushi","Beausoleil","4/24/1989"
"Odoardo","Lally","3/2/1989"
"Chriss","Guerreiro","5/2/1989"
"Jungsoon","Kornyak","9/4/1989"
"Ennio","Schiper","9/7/1989"
"Sumant","Dredge","7/5/1989"
"Chiradeep","Lamparter","7/18/1989"
"Zito","Juneja","1/27/1989"
